,original,perturbated_noise3_0,upsampled_perturbated_noise3_0,downsampled_perturbated_noise3_0,perturbated_noise10_0,upsampled_perturbated_noise10_0,downsampled_perturbated_noise10_0,perturbated_noise100_0,upsampled_perturbated_noise100_0,downsampled_perturbated_noise100_0,upsampled_0,downsampled_0,perturbated_noise3_1,upsampled_perturbated_noise3_1,downsampled_perturbated_noise3_1,perturbated_noise10_1,upsampled_perturbated_noise10_1,downsampled_perturbated_noise10_1,perturbated_noise100_1,upsampled_perturbated_noise100_1,downsampled_perturbated_noise100_1,upsampled_1,downsampled_1
12884,0,0,1,1,0,1,1,0,1,1,15,1,1,1,1,1,1,1,1,1,1,0,1
12885,0,0,4,4,0,4,4,0,4,4,5,4,1,,,1,,,1,,,,
12886,4,4,4,4,4,4,4,4,4,4,5,4,4,,,4,,,4,,,,
12887,0,0,2,2,0,2,2,0,2,2,3,3,1,,,1,,,1,,,,
12888,1,1,6,6,1,6,6,1,6,6,8,6,0,3,3,0,3,3,0,3,3,2,4
12889,5,5,1,1,5,1,1,5,1,1,1,1,5,,,5,,,5,,,,
12890,3,3,0,,3,0,,3,0,,0,,3,,,3,,,3,,,,
12891,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,1,4,4,1,4,4,4,3
12892,3,3,,,3,,,3,,,,,3,2,,3,2,,3,2,,1,
12893,0,0,2,,0,2,,0,2,,3,,1,1,1,1,1,1,1,1,1,0,1
12894,0,0,8,8,0,8,8,0,8,8,11,10,1,2,2,1,2,2,1,2,2,1,2
12895,3,3,7,7,3,7,7,3,7,7,9,7,3,,,3,,,3,,,,
12896,0,0,4,,0,4,,0,4,,5,,1,,,1,,,1,,,,
12897,0,0,4,4,0,4,4,0,4,4,5,4,1,2,2,1,2,2,1,2,2,1,2
12898,0,0,1,1,0,1,1,0,1,1,1,1,1,,,1,,,1,,,,
12899,4,4,4,4,4,4,4,4,4,4,5,4,4,,,4,,,4,,,,
12900,3,3,3,3,3,3,3,3,3,3,2,2,3,2,2,3,2,2,3,2,2,1,2
12901,2,2,4,,2,4,,2,4,,12,,2,1,1,2,1,1,2,1,1,0,1
12902,2,2,2,2,2,2,2,2,2,2,3,3,2,,,2,,,2,,,,
12903,4,4,2,2,4,2,2,4,2,2,10,8,4,,,4,,,4,,,,
12904,3,3,4,4,3,4,4,3,4,4,13,4,3,4,4,3,4,4,3,4,4,4,3
12905,1,1,8,,1,8,,1,8,,11,,0,3,3,0,3,3,0,3,3,8,7
12906,5,5,,,5,,,5,,,,,5,1,1,5,1,1,5,1,1,0,1
12907,3,3,5,5,3,5,5,3,5,5,4,5,3,5,5,3,5,5,3,5,5,3,5
12908,2,2,,,2,,,2,,,,,2,,,2,,,2,,,,
12909,2,2,2,2,2,2,2,2,2,2,3,3,2,,,2,,,2,,,,
12910,2,2,5,5,2,5,5,2,5,5,4,5,2,12,11,2,12,11,2,12,11,4,4
12911,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,3,3,1,3,3,2,4
12912,2,2,7,7,2,7,7,2,7,7,9,7,2,0,,2,0,,2,0,,5,
12913,0,0,3,,0,3,,0,3,,2,,1,,,1,,,1,,,,
12914,4,4,1,1,4,1,1,4,1,1,1,1,4,1,1,4,1,1,4,1,1,0,1
12915,2,2,4,4,2,4,4,2,4,4,84,4,2,,,2,,,2,,,,
12916,1,1,,,1,,,1,,,,,0,7,7,0,7,7,0,7,7,12,10
12917,3,3,5,5,3,5,5,3,5,5,4,5,3,2,2,3,2,2,3,2,2,11,9
12918,0,0,5,5,0,5,5,0,5,5,4,5,1,1,1,1,1,1,1,1,1,0,1
12919,3,3,6,,3,6,,3,6,,18,,3,4,4,3,4,4,3,4,4,4,3
12920,1,0,1,1,0,1,1,0,1,1,6,1,0,3,3,0,3,3,0,3,3,2,4
12921,3,3,6,6,3,6,6,3,6,6,8,6,3,8,8,3,8,8,3,8,8,13,11
12922,5,5,8,8,5,8,8,5,8,8,11,10,5,11,10,5,11,10,5,11,10,16,14
12923,6,6,12,12,6,12,12,6,12,12,5,15,6,1,1,6,1,1,6,1,1,0,1
12924,4,4,3,3,4,3,3,4,3,3,12,2,4,4,4,4,4,4,4,4,4,4,3
12925,2,2,,,2,,,2,,,,,2,,,2,,,2,,,,
12926,3,3,,,3,,,3,,,,,3,3,3,3,3,3,3,3,3,2,4
12927,1,1,1,1,1,1,1,1,1,1,6,1,0,2,2,0,2,2,0,2,2,11,9
12928,2,2,6,,2,6,,2,6,,8,,2,2,,2,2,,2,2,,11,
12929,11,10,1,1,10,1,1,10,1,1,6,9,10,7,7,10,7,7,10,7,7,12,10
12930,3,3,4,4,3,4,4,3,4,4,5,4,3,3,3,3,3,3,3,3,3,2,4
12931,3,3,2,2,3,2,2,3,2,2,3,3,3,,,3,,,3,,,,
12932,3,3,2,2,3,2,2,3,2,2,3,3,3,,,3,,,3,,,,
12933,3,3,1,1,3,1,1,3,1,1,1,1,3,,,3,,,3,,,,
12934,9,9,0,0,9,0,0,9,0,0,7,0,9,0,0,9,0,0,9,0,0,5,0
12935,5,5,,,5,,,5,,,,,5,5,5,5,5,5,5,5,5,3,5
12936,0,0,9,9,0,9,9,0,9,9,14,11,1,3,,1,3,,1,3,,8,
12937,2,2,4,,2,4,,2,4,,2,,2,1,0,2,1,0,2,1,0,0,0
12938,0,0,17,4,0,17,4,0,17,4,12,4,1,4,4,1,4,4,1,4,4,4,3
12939,1,1,2,2,1,2,2,1,2,2,3,3,0,2,2,0,2,2,0,2,2,1,2
12940,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,4,0,4,4,4,3
12941,2,2,5,,2,5,,2,5,,4,,2,7,7,2,7,7,2,7,7,12,10
12942,4,4,4,,4,4,,4,4,,5,,4,,,4,,,4,,,,
12943,7,7,0,,7,0,,7,0,,0,,7,1,1,7,1,1,7,1,1,0,1
12944,3,3,1,1,3,1,1,3,1,1,6,9,3,,,3,,,3,,,,
12945,1,1,0,0,1,0,0,1,0,0,0,0,0,4,,0,4,,0,4,,4,
12946,3,3,1,1,3,1,1,3,1,1,1,1,3,1,1,3,1,1,3,1,1,0,1
12947,3,3,,,3,,,3,,,,,3,,,3,,,3,,,,
12948,1,1,,,1,,,1,,,,,0,,,0,,,0,,,,
12949,1,1,3,3,1,3,3,1,3,3,2,2,0,7,7,0,7,7,0,7,7,12,10
12950,3,3,1,1,3,1,1,3,1,1,1,1,3,,,3,,,3,,,,
12951,4,4,1,,4,1,,4,1,,1,,4,,,4,,,4,,,,
12952,3,3,,,3,,,3,,,,,3,7,7,3,7,7,3,7,7,12,10
12953,0,0,2,,0,2,,0,2,,3,,1,7,7,1,7,7,1,7,7,12,10
12954,1,1,3,3,1,3,3,1,3,3,2,2,0,,,0,,,0,,,,
12955,3,3,,,3,,,3,,,,,3,1,1,3,1,1,3,1,1,7,6
12956,1,1,6,6,1,6,6,1,6,6,8,6,0,,,0,,,0,,,,
12957,4,4,1,1,4,1,1,4,1,1,1,1,4,1,,4,1,,4,1,,0,
12958,4,4,1,1,4,1,1,4,1,1,1,1,4,10,4,4,10,4,4,10,4,10,18
12959,4,4,1,,4,1,,4,1,,1,,4,,,4,,,4,,,,
12960,0,0,1,,0,1,,0,1,,1,,1,,,1,,,1,,,,
12961,0,0,1,1,0,1,1,0,1,1,1,1,1,0,,1,0,,1,0,,5,
12962,1,1,2,,1,2,,1,2,,10,,0,,,0,,,0,,,,
12963,1,1,4,4,1,4,4,1,4,4,5,4,0,1,1,0,1,1,0,1,1,0,1
12964,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1
12965,3,3,4,,3,4,,3,4,,5,,3,7,7,3,7,7,3,7,7,12,10
12966,3,3,1,1,3,1,1,3,1,1,1,1,3,,,3,,,3,,,,
12967,0,0,,,0,,,0,,,,,1,2,2,1,2,2,1,2,2,11,9
12968,0,0,,,0,,,0,,,,,1,,,1,,,1,,,,
12969,0,0,2,2,0,2,2,0,2,2,3,3,1,,,1,,,1,,,,
12970,7,7,0,0,7,0,0,7,0,0,0,0,7,,,7,,,7,,,,
12971,1,1,3,,1,3,,1,3,,2,,0,0,0,0,0,0,0,0,0,5,0
12972,1,1,,,1,,,1,,,,,0,,,0,,,0,,,,
12973,0,0,0,0,0,0,0,0,0,0,0,0,1,9,9,1,9,9,1,9,9,14,12
12974,0,0,4,4,0,4,4,0,4,4,12,4,1,0,0,1,0,0,1,0,0,5,0
12975,4,4,9,9,4,9,9,4,9,9,4,5,4,2,2,4,2,2,4,2,2,1,2
12976,0,0,,,0,,,0,,,,,1,3,3,1,3,3,1,3,3,2,4
12977,1,1,,,1,,,1,,,,,0,,,0,,,0,,,,
12978,0,0,3,3,0,3,3,0,3,3,2,2,1,,,1,,,1,,,,
12979,5,5,3,,5,3,,5,3,,2,,5,2,2,5,2,2,5,2,2,11,9
12980,0,0,,,0,,,0,,,,,1,2,2,1,2,2,1,2,2,1,2
12981,1,1,,,1,,,1,,,,,0,,,0,,,0,,,,
12982,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1
12983,1,1,,,1,,,1,,,,,0,0,0,0,0,0,0,0,0,10,0
12984,2,2,2,,2,2,,2,2,,10,,2,0,0,2,0,0,2,0,0,18,0
12985,3,3,,,3,,,3,,,,,3,5,5,3,5,5,3,5,5,3,5
12986,1,1,0,0,1,0,0,1,0,0,0,0,0,,,0,,,0,,,,
12987,0,0,,,0,,,0,,,,,1,2,2,1,2,2,1,2,2,1,2
12988,1,1,,,1,,,1,,,,,0,0,0,0,0,0,0,0,0,10,0
12989,4,4,1,1,4,1,1,4,1,1,1,1,4,3,3,4,3,3,4,3,3,8,7
12990,1,1,0,0,1,0,0,1,0,0,6,0,0,,,0,,,0,,,,
12991,2,2,,,2,,,2,,,,,2,3,3,2,3,3,2,3,3,8,7
12992,0,0,,,0,,,0,,,,,1,0,0,1,0,0,1,0,0,5,0
12993,3,3,,,3,,,3,,,,,3,,,3,,,3,,,,
12994,7,7,,,7,,,7,,,,,7,,,7,,,7,,,,
12995,2,2,,,2,,,2,,,,,2,,,2,,,2,,,,
12996,7,7,0,0,7,0,0,7,0,0,0,0,7,5,5,7,5,5,7,5,5,3,5
12997,0,0,4,4,0,4,4,0,4,4,13,4,1,,,1,,,1,,,,
12998,2,2,8,8,2,8,8,2,8,8,11,10,2,2,,2,2,,2,2,,1,
12999,4,4,1,1,4,1,1,4,1,1,1,1,4,0,0,4,0,0,4,0,0,5,0
13000,5,5,3,3,5,3,3,5,3,3,65,2,5,3,3,5,3,3,5,3,3,23,7
13001,1,1,3,3,1,3,3,1,3,3,2,2,0,,,0,,,0,,,,
13002,8,8,0,0,8,0,0,8,0,0,40,0,8,,,8,,,8,,,,
13003,5,5,,,5,,,5,,,,,5,0,0,5,0,0,5,0,0,10,0
13004,9,9,,,9,,,9,,,,,9,,,9,,,9,,,,
13005,0,0,4,4,0,4,4,0,4,4,5,4,1,,,1,,,1,,,,
13006,3,3,,,3,,,3,,,,,3,0,1,3,0,1,3,0,1,19,0
13007,0,0,,,0,,,0,,,,,1,6,6,1,6,6,1,6,6,20,4
13008,0,0,1,1,0,1,1,0,1,1,1,1,1,3,3,1,3,3,1,3,3,2,4
13009,0,0,,,0,,,0,,,,,1,,,1,,,1,,,,
13010,2,2,,,2,,,2,,,,,2,5,5,2,5,5,2,5,5,3,5
13011,5,5,2,2,5,2,2,5,2,2,3,3,5,3,3,5,3,3,5,3,3,2,4
13012,3,3,,,3,,,3,,,,,3,3,3,3,3,3,3,3,3,8,7
13013,2,2,,,2,,,2,,,,,2,2,2,2,2,2,2,2,2,1,2
13014,0,0,2,2,0,2,2,0,2,2,3,3,1,0,0,1,0,0,1,0,0,10,0
13015,4,4,8,8,4,8,8,4,8,8,11,10,4,3,3,4,3,3,4,3,3,2,4
13016,0,0,0,0,0,0,0,0,0,0,7,0,1,4,4,1,4,4,1,4,4,4,3
13017,0,0,2,2,0,2,2,0,2,2,3,3,1,9,,1,9,,1,9,,14,
13018,0,0,0,0,0,0,0,0,0,0,7,0,1,5,5,1,5,5,1,5,5,3,3
13019,4,4,5,5,4,5,5,4,5,5,4,5,4,3,,4,3,,4,3,,2,
13020,3,3,10,10,3,10,10,3,10,10,16,12,3,,,3,,,3,,,,
13021,1,1,2,,1,2,,1,2,,3,,0,3,3,0,3,3,0,3,3,2,4
13022,0,0,1,1,0,1,1,0,1,1,6,9,1,,,1,,,1,,,,
13023,1,1,3,3,1,3,3,1,3,3,2,2,0,0,,0,0,,0,0,,5,
13024,2,2,1,,2,1,,2,1,,6,,2,2,2,2,2,2,2,2,2,1,2
13025,3,3,3,,3,3,,3,3,,2,,3,1,0,3,1,0,3,1,0,6,0
13026,3,3,1,,3,1,,3,1,,1,,3,6,6,3,6,6,3,6,6,9,8
13027,1,1,,,1,,,1,,,,,0,1,,0,1,,0,1,,0,
13028,4,4,2,2,4,2,2,4,2,2,3,3,4,8,8,4,8,8,4,8,8,13,11
13029,4,4,,,4,,,4,,,,,4,10,4,4,10,4,4,10,4,2,4
13030,2,2,3,3,2,3,3,2,3,3,2,2,2,,,2,,,2,,,,
13031,4,4,8,8,4,8,8,4,8,8,11,10,4,2,2,4,2,2,4,2,2,1,2
13032,2,2,8,8,2,8,8,2,8,8,11,10,2,,,2,,,2,,,,
13033,0,0,2,2,0,2,2,0,2,2,3,3,1,,,1,,,1,,,,
13034,4,4,0,,4,0,,4,0,,0,,4,0,,4,0,,4,0,,5,
13035,2,2,,,2,,,2,,,,,2,,,2,,,2,,,,
13036,0,0,,,0,,,0,,,,,1,9,,1,9,,1,9,,172,
13037,0,0,1,1,0,1,1,0,1,1,1,1,1,,,1,,,1,,,,
13038,0,9,1,1,9,1,1,9,1,1,6,1,1,,,1,,,1,,,,
13039,2,2,,,2,,,2,,,,,2,,,2,,,2,,,,
13040,3,3,,,3,,,3,,,,,3,,,3,,,3,,,,
13041,2,2,1,,2,1,,2,1,,6,,2,,,2,,,2,,,,
13042,4,4,,,4,,,4,,,,,4,4,4,4,4,4,4,4,4,4,3
13043,0,1,7,7,1,7,7,1,7,7,9,7,9,,,9,,,9,,,,
13044,8,8,4,4,8,4,4,8,4,4,2,2,8,3,,8,3,,8,3,,8,
13045,0,0,,,0,,,0,,,,,1,2,2,1,2,2,1,2,2,1,2
13046,7,6,2,2,6,2,2,6,2,2,3,3,6,4,4,6,4,4,6,4,4,18,3
13047,2,2,,,2,,,2,,,,,2,1,1,2,1,1,2,1,1,0,1
13048,1,1,8,8,1,8,8,1,8,8,11,10,0,,,0,,,0,,,,
13049,5,5,,,5,,,5,,,,,5,4,4,5,4,4,5,4,4,4,3
13050,2,2,4,4,2,4,4,2,4,4,5,4,2,1,1,2,1,1,2,1,1,0,1
13051,2,2,1,1,2,1,1,2,1,1,6,9,2,0,0,2,0,0,2,0,0,5,0
13052,3,3,,,3,,,3,,,,,3,6,6,3,6,6,3,6,6,9,8
13053,1,1,2,,1,2,,1,2,,3,,0,,,0,,,0,,,,
13054,2,2,,,2,,,2,,,,,2,0,0,2,0,0,2,0,0,5,0
13055,2,2,,,2,,,2,,,,,2,0,0,2,0,0,2,0,0,5,0
13056,0,0,8,8,0,8,8,0,8,8,11,10,1,7,4,1,7,4,1,7,4,8,3
13057,2,2,4,,2,4,,2,4,,5,,2,8,8,2,8,8,2,8,8,13,11
13058,0,0,2,2,0,2,2,0,2,2,3,3,1,2,,1,2,,1,2,,11,
13059,3,3,3,3,3,3,3,3,3,3,2,2,3,,,3,,,3,,,,
13060,2,2,10,10,2,10,10,2,10,10,16,12,2,3,3,2,3,3,2,3,3,197,7
13061,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,5,0
13062,1,1,,,1,,,1,,,,,0,,,0,,,0,,,,
13063,5,5,,,5,,,5,,,,,5,2,2,5,2,2,5,2,2,1,2
13064,1,1,,,1,,,1,,,,,0,5,5,0,5,5,0,5,5,3,5
13065,3,3,1,1,3,1,1,3,1,1,1,1,3,2,2,3,2,2,3,2,2,11,9
13066,7,7,5,5,7,5,5,7,5,5,4,5,7,4,4,7,4,4,7,4,4,2,4
13067,0,0,,,0,,,0,,,,,1,1,1,1,1,1,1,1,1,0,1
13068,4,4,2,2,4,2,2,4,2,2,3,3,4,2,2,4,2,2,4,2,2,11,9
13069,1,1,,,1,,,1,,,,,0,,,0,,,0,,,,
13070,1,1,,,1,,,1,,,,,0,0,4,0,0,4,0,0,4,15,15
13071,4,4,3,,4,3,,4,3,,2,,4,5,5,4,5,5,4,5,5,3,5
13072,2,2,,,2,,,2,,,,,2,,,2,,,2,,,,
13073,2,2,11,,2,11,,2,11,,13,,2,,,2,,,2,,,,
13074,4,4,0,,4,0,,4,0,,0,,4,0,0,4,0,0,4,0,0,10,0
13075,0,0,2,2,0,2,2,0,2,2,3,3,1,,,1,,,1,,,,
13076,0,0,1,1,0,1,1,0,1,1,1,1,1,,,1,,,1,,,,
13077,5,5,2,2,5,2,2,5,2,2,10,8,5,0,0,5,0,0,5,0,0,5,0
13078,9,9,6,6,9,6,6,9,6,6,8,6,9,2,2,9,2,2,9,2,2,1,2
13079,2,2,8,,2,8,,2,8,,11,,2,8,8,2,8,8,2,8,8,13,11
13080,0,0,,,0,,,0,,,,,1,0,,1,0,,1,0,,5,
13081,0,0,1,,0,1,,0,1,,6,,1,1,1,1,1,1,1,1,1,7,6
13082,3,3,3,3,3,3,3,3,3,3,2,2,3,2,,3,2,,3,2,,1,
13083,0,0,2,,0,2,,0,2,,3,,1,,,1,,,1,,,,
13084,4,3,1,1,3,1,1,3,1,1,1,1,4,4,4,4,4,4,4,4,4,4,3
13085,0,0,,,0,,,0,,,,,1,1,,1,1,,1,1,,0,
13086,0,0,,,0,,,0,,,,,1,3,3,1,3,3,1,3,3,2,4
13087,0,0,6,6,0,6,6,0,6,6,8,6,1,,,1,,,1,,,,
13088,3,3,4,4,3,4,4,3,4,4,5,4,3,10,1,3,10,1,3,10,1,17,13
13089,4,4,0,0,4,0,0,4,0,0,7,0,4,,,4,,,4,,,,
13090,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,1,2,,1,2,,13,
13091,3,3,,,3,,,3,,,,,3,4,4,3,4,4,3,4,4,4,3
13092,0,0,8,8,0,8,8,0,8,8,11,10,1,3,3,1,3,3,1,3,3,2,4
13093,2,2,0,0,2,0,0,2,0,0,7,0,2,,,2,,,2,,,,
13094,4,4,0,0,4,0,0,4,0,0,0,0,4,8,,4,8,,4,8,,13,
13095,9,9,1,1,9,1,1,9,1,1,6,9,9,6,6,9,6,6,9,6,6,9,8
13096,0,0,8,,0,8,,0,8,,11,,1,4,4,1,4,4,1,4,4,4,3
13097,0,0,2,2,0,2,2,0,2,2,3,3,1,7,7,1,7,7,1,7,7,12,10
13098,1,1,5,5,1,5,5,1,5,5,4,5,0,,,0,,,0,,,,
13099,1,1,3,3,1,3,3,1,3,3,2,2,0,,,0,,,0,,,,
13100,7,7,8,8,7,8,8,7,8,8,11,10,7,1,1,7,1,1,7,1,1,7,6
13101,0,0,2,2,0,2,2,0,2,2,3,3,1,,,1,,,1,,,,
13102,3,3,0,0,3,0,0,3,0,0,7,0,3,4,4,3,4,4,3,4,4,4,3
13103,3,3,5,5,3,5,5,3,5,5,4,5,3,2,2,3,2,2,3,2,2,11,9
13104,3,3,2,2,3,2,2,3,2,2,3,3,3,1,1,3,1,1,3,1,1,0,1
13105,3,3,,,3,,,3,,,,,3,4,4,3,4,4,3,4,4,4,3
13106,1,1,,,1,,,1,,,,,0,2,2,0,2,2,0,2,2,1,2
13107,2,2,6,6,2,6,6,2,6,6,8,6,2,5,5,2,5,5,2,5,5,3,5
13108,2,2,1,1,2,1,1,2,1,1,1,1,2,,,2,,,2,,,,
13109,1,1,3,,1,3,,1,3,,2,,0,,,0,,,0,,,,
13110,4,4,,,4,,,4,,,,,4,1,,4,1,,4,1,,0,
13111,1,1,6,6,1,6,6,1,6,6,8,6,0,7,7,0,7,7,0,7,7,12,10
13112,2,2,3,3,2,3,3,2,3,3,2,2,2,0,,2,0,,2,0,,6,
13113,9,2,5,5,2,5,5,2,5,5,4,5,9,2,,9,2,,9,2,,1,
13114,1,1,2,2,1,2,2,1,2,2,3,3,0,,,0,,,0,,,,
13115,2,2,0,0,2,0,0,2,0,0,0,0,2,6,6,2,6,6,2,6,6,9,8
13116,3,3,1,1,3,1,1,3,1,1,1,1,3,2,2,3,2,2,3,2,2,98,11
13117,9,9,4,4,9,4,4,9,4,4,5,4,9,5,5,9,5,5,9,5,5,3,3
13118,8,8,0,0,8,0,0,8,0,0,0,0,8,8,8,8,8,8,8,8,8,13,11
13119,0,0,,,0,,,0,,,,,1,4,4,1,4,4,1,4,4,8,3
13120,6,6,2,2,6,2,2,6,2,2,3,3,6,,,6,,,6,,,,
13121,3,3,4,4,3,4,4,3,4,4,5,2,3,,,3,,,3,,,,
13122,1,1,4,4,1,4,4,1,4,4,5,4,0,0,,0,0,,0,0,,5,
13123,7,7,8,8,7,8,8,7,8,8,11,10,7,0,0,7,0,0,7,0,0,5,0
13124,9,9,0,,9,0,,9,0,,0,,9,3,3,9,3,3,9,3,3,2,4
13125,4,4,,,4,,,4,,,,,4,,,4,,,4,,,,
13126,2,2,4,4,2,4,4,2,4,4,5,4,2,,,2,,,2,,,,
13127,2,2,1,1,2,1,1,2,1,1,6,9,2,2,2,2,2,2,2,2,2,11,9
13128,4,6,2,2,6,2,2,6,2,2,3,3,4,0,0,4,0,0,4,0,0,6,0
13129,1,1,3,3,1,3,3,1,3,3,6,2,0,1,1,0,1,1,0,1,1,7,6
13130,1,1,,,1,,,1,,,,,0,,,0,,,0,,,,
13131,0,0,,,0,,,0,,,,,1,,,1,,,1,,,,
13132,1,1,,,1,,,1,,,,,0,0,,0,0,,0,0,,5,
13133,2,2,3,,2,3,,2,3,,12,,2,4,4,2,4,4,2,4,4,4,3
13134,3,3,,,3,,,3,,,,,3,,,3,,,3,,,,
13135,3,3,1,,3,1,,3,1,,1,,3,4,4,3,4,4,3,4,4,4,3
13136,1,1,,,1,,,1,,,,,0,,,0,,,0,,,,
13137,0,0,1,1,0,1,1,0,1,1,1,1,0,,,0,,,0,,,,
13138,1,1,5,,1,5,,1,5,,4,,0,2,2,0,2,2,0,2,2,11,9
13139,4,4,5,5,4,5,5,4,5,5,4,5,4,,,4,,,4,,,,
13140,3,3,,,3,,,3,,,,,3,9,9,3,9,9,3,9,9,1,12
13141,7,7,4,4,7,4,4,7,4,4,17,4,7,,,7,,,7,,,,
13142,2,2,6,6,2,6,6,2,6,6,8,6,2,7,7,2,7,7,2,7,7,12,10
13143,1,1,3,3,1,3,3,1,3,3,2,2,0,,,0,,,0,,,,
13144,7,7,3,,7,3,,7,3,,12,,7,7,7,7,7,7,7,7,7,12,10
13145,1,1,,,1,,,1,,,,,0,,,0,,,0,,,,
13146,3,3,5,5,3,5,5,3,5,5,4,5,3,3,3,3,3,3,3,3,3,2,4
13147,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
13148,0,0,4,4,0,4,4,0,4,4,5,4,1,,,1,,,1,,,,
13149,1,1,,,1,,,1,,,,,0,1,1,0,1,1,0,1,1,0,1
13150,4,4,,,4,,,4,,,,,4,5,,4,5,,4,5,,3,
13151,1,1,0,0,1,0,0,1,0,0,7,0,0,0,,0,0,,0,0,,15,
13152,3,4,,,4,,,4,,,,,3,,,3,,,3,,,,
13153,1,1,,,1,,,1,,,,,0,1,1,0,1,1,0,1,1,0,1
13154,0,0,1,1,0,1,1,0,1,1,6,1,1,,,1,,,1,,,,
13155,1,1,4,4,1,4,4,1,4,4,5,4,0,10,0,0,10,0,0,10,0,17,0
13156,0,4,0,0,4,0,0,4,0,0,7,0,4,1,1,4,1,1,4,1,1,0,1
13157,2,2,4,4,2,4,4,2,4,4,5,4,2,5,5,2,5,5,2,5,5,3,5
13158,1,1,,,1,,,1,,,,,0,,,0,,,0,,,,
13159,0,0,2,2,0,2,2,0,2,2,10,8,1,4,4,1,4,4,1,4,4,4,4
13160,0,0,0,,0,0,,0,0,,15,,1,1,1,1,1,1,1,1,1,0,1
13161,5,5,,,5,,,5,,,,,5,4,4,5,4,4,5,4,4,2,4
13162,1,1,2,2,1,2,2,1,2,2,3,3,0,2,2,0,2,2,0,2,2,1,2
13163,3,3,5,5,3,5,5,3,5,5,4,5,3,5,5,3,5,5,3,5,5,3,5
13164,1,1,1,1,1,1,1,1,1,1,6,1,0,1,1,0,1,1,0,1,1,7,6
13165,1,1,0,0,1,0,0,1,0,0,0,0,0,,,0,,,0,,,,
13166,4,4,5,5,4,5,5,4,5,5,4,5,4,,,4,,,4,,,,
13167,0,9,,,9,,,9,,,,,9,6,6,9,6,6,9,6,6,9,8
13168,1,1,,,1,,,1,,,,,0,11,,0,11,,0,11,,16,
13169,1,1,2,2,1,2,2,1,2,2,3,3,0,8,8,0,8,8,0,8,8,13,11
13170,1,1,0,,1,0,,1,0,,15,,0,4,4,0,4,4,0,4,4,18,3
13171,3,3,,,3,,,3,,,,,3,3,3,3,3,3,3,3,3,4,3
13172,1,1,6,6,1,6,6,1,6,6,8,6,0,1,1,0,1,1,0,1,1,0,1
13173,3,3,2,2,3,2,2,3,2,2,3,3,3,0,0,3,0,0,3,0,0,10,0
13174,0,0,5,5,0,5,5,0,5,5,4,5,1,4,4,1,4,4,1,4,4,4,3
13175,1,1,,,1,,,1,,,,,0,8,,0,8,,0,8,,14,
13176,4,4,2,2,4,2,2,4,2,2,3,3,4,1,1,4,1,1,4,1,1,0,1
13177,9,9,5,5,9,5,5,9,5,5,4,5,9,1,1,9,1,1,9,1,1,0,1
13178,3,3,3,3,3,3,3,3,3,3,2,2,3,2,,3,2,,3,2,,11,
13179,7,7,5,5,7,5,5,7,5,5,4,5,7,,,7,,,7,,,,
13180,7,7,0,0,7,0,0,7,0,0,0,0,7,6,6,7,6,6,7,6,6,20,8
13181,1,1,,,1,,,1,,,,,0,6,6,0,6,6,0,6,6,9,8
13182,3,3,,,3,,,3,,,,,3,1,1,3,1,1,3,1,1,5,1
13183,3,3,,,3,,,3,,,,,3,,,3,,,3,,,,
13184,1,1,,,1,,,1,,,,,0,4,,0,4,,0,4,,70,
13185,0,0,2,2,0,2,2,0,2,2,3,3,1,8,8,1,8,8,1,8,8,21,11
13186,0,0,,,0,,,0,,,,,1,0,0,1,0,0,1,0,0,10,0
13187,3,3,2,2,3,2,2,3,2,2,3,3,3,1,,3,1,,3,1,,24,
13188,1,1,1,,1,1,,1,1,,83,,0,3,3,0,3,3,0,3,3,2,4
13189,1,0,1,1,0,1,1,0,1,1,6,9,0,0,0,0,0,0,0,0,0,10,0
13190,2,2,3,3,2,3,3,2,3,3,2,2,2,,,2,,,2,,,,
13191,1,1,6,6,1,6,6,1,6,6,8,6,0,3,,0,3,,0,3,,8,
13192,1,1,0,,1,0,,1,0,,7,,0,,,0,,,0,,,,
13193,0,0,2,2,0,2,2,0,2,2,3,3,1,7,7,1,7,7,1,7,7,12,10
13194,2,2,2,2,2,2,2,2,2,2,10,10,2,0,0,2,0,0,2,0,0,10,0
13195,9,9,8,8,9,8,8,9,8,8,11,10,9,,,9,,,9,,,,
13196,1,1,8,,1,8,,1,8,,12,,9,6,6,9,6,6,9,6,6,9,8
13197,0,0,,,0,,,0,,,,,1,8,,1,8,,1,8,,13,
13198,3,3,2,,3,2,,3,2,,3,,3,,,3,,,3,,,,
13199,9,9,0,0,9,0,0,9,0,0,9,7,9,3,3,9,3,3,9,3,3,8,7
13200,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,2,4
13201,9,9,,,9,,,9,,,,,9,3,3,9,3,3,9,3,3,8,7
