,original,perturbated_noise3_0,upsampled_perturbated_noise3_0,downsampled_perturbated_noise3_0,perturbated_noise10_0,upsampled_perturbated_noise10_0,downsampled_perturbated_noise10_0,perturbated_noise100_0,upsampled_perturbated_noise100_0,downsampled_perturbated_noise100_0,upsampled_0,downsampled_0,perturbated_noise3_1,upsampled_perturbated_noise3_1,downsampled_perturbated_noise3_1,perturbated_noise10_1,upsampled_perturbated_noise10_1,downsampled_perturbated_noise10_1,perturbated_noise100_1,upsampled_perturbated_noise100_1,downsampled_perturbated_noise100_1,upsampled_1,downsampled_1
33956,2,2,,,2,,,2,,,,,2,2,,2,2,,2,2,,1,
33957,8,8,0,0,8,0,0,8,0,0,7,0,8,3,3,8,3,3,8,3,3,2,4
33958,5,5,,,5,,,5,,,,,5,7,7,5,7,7,5,7,7,12,10
33959,8,8,4,,8,4,,8,4,,5,,8,0,0,8,0,0,8,0,0,5,0
33960,4,4,,,4,,,4,,,,,4,1,1,4,1,1,4,1,1,14,6
33961,5,5,,,5,,,5,,,,,5,,,5,,,5,,,,
33962,4,4,,,4,,,4,,,,,4,,,4,,,4,,,,
33963,5,5,,,5,,,5,,,,,5,,,5,,,5,,,,
33964,1,1,9,9,1,9,9,1,9,9,14,11,0,0,,0,0,,0,0,,6,
33965,1,1,1,1,1,1,1,1,1,1,6,1,0,2,,0,2,,0,2,,1,
33966,3,3,4,4,3,4,4,3,4,4,5,4,3,,,3,,,3,,,,
33967,4,4,4,4,4,4,4,4,4,4,5,4,4,,,4,,,4,,,,
33968,5,5,4,4,5,4,4,5,4,4,5,4,5,,,5,,,5,,,,
33969,5,5,3,3,5,3,3,5,3,3,2,2,5,7,,5,7,,5,7,,12,
33970,5,5,0,0,5,0,0,5,0,0,0,0,5,,,5,,,5,,,,
33971,4,4,0,,4,0,,4,0,,7,,4,4,4,4,4,4,4,4,4,4,3
33972,4,4,1,1,4,1,1,4,1,1,1,1,4,,,4,,,4,,,,
33973,4,4,,,4,,,4,,,,,4,0,0,4,0,0,4,0,0,10,0
33974,1,1,,,1,,,1,,,,,0,2,2,0,2,2,0,2,2,1,2
33975,5,5,,,5,,,5,,,,,5,10,4,5,10,4,5,10,4,17,13
33976,5,5,8,8,5,8,8,5,8,8,11,10,5,1,1,5,1,1,5,1,1,0,1
33977,4,4,0,0,4,0,0,4,0,0,0,0,4,5,5,4,5,5,4,5,5,3,5
33978,1,1,,,1,,,1,,,,,0,11,10,0,11,10,0,11,10,16,14
33979,1,1,0,0,1,0,0,1,0,0,0,0,0,5,5,0,5,5,0,5,5,3,5
33980,5,5,0,0,5,0,0,5,0,0,7,0,5,2,2,5,2,2,5,2,2,1,2
33981,2,2,,,2,,,2,,,,,2,0,,2,0,,2,0,,5,
33982,0,0,,,0,,,0,,,,,1,0,,1,0,,1,0,,6,
33983,0,0,,,0,,,0,,,,,1,1,1,1,1,1,1,1,1,0,1
33984,1,1,7,,1,7,,1,7,,9,,0,0,0,0,0,0,0,0,0,6,0
33985,5,5,,,5,,,5,,,,,5,,,5,,,5,,,,
33986,5,5,0,0,5,0,0,5,0,0,15,14,5,,,5,,,5,,,,
33987,1,1,3,3,1,3,3,1,3,3,2,2,0,,,0,,,0,,,,
33988,1,1,,,1,,,1,,,,,0,2,2,0,2,2,0,2,2,1,2
33989,2,2,0,0,2,0,0,2,0,0,0,0,2,,,2,,,2,,,,
33990,4,4,8,,4,8,,4,8,,11,,4,,,4,,,4,,,,
33991,5,5,3,3,5,3,3,5,3,3,5,4,5,0,0,5,0,0,5,0,0,5,0
33992,1,1,5,5,1,5,5,1,5,5,4,5,0,1,1,0,1,1,0,1,1,0,1
33993,5,5,,,5,,,5,,,,,5,4,4,5,4,4,5,4,4,4,3
33994,5,5,,,5,,,5,,,,,5,0,0,5,0,0,5,0,0,5,0
33995,8,8,2,2,8,2,2,8,2,2,10,8,8,,,8,,,8,,,,
33996,8,8,0,0,8,0,0,8,0,0,15,0,8,4,4,8,4,4,8,4,4,18,3
33997,2,2,1,,2,1,,2,1,,6,,2,5,5,2,5,5,2,5,5,3,5
33998,8,8,,,8,,,8,,,,,8,0,0,8,0,0,8,0,0,5,0
33999,1,1,,,1,,,1,,,,,0,1,,0,1,,0,1,,7,
34000,1,1,4,4,1,4,4,1,4,4,5,2,0,2,2,0,2,2,0,2,2,1,2
34001,5,5,7,,5,7,,5,7,,9,,5,1,1,5,1,1,5,1,1,7,6
34002,4,4,,,4,,,4,,,,,4,0,,4,0,,4,0,,5,
34003,1,1,8,8,1,8,8,1,8,8,11,10,0,6,,0,6,,0,6,,9,
34004,4,4,5,5,4,5,5,4,5,5,4,5,4,1,1,4,1,1,4,1,1,0,1
34005,7,7,,,7,,,7,,,,,7,1,1,7,1,1,7,1,1,7,1
34006,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,0,2,2,0,2,2,1,2
34007,5,5,,,5,,,5,,,,,5,,,5,,,5,,,,
34008,1,1,1,,1,1,,1,1,,1,,0,1,1,0,1,1,0,1,1,0,1
34009,2,2,1,1,2,1,1,2,1,1,0,1,2,3,,2,3,,2,3,,2,
34010,2,2,5,5,2,5,5,2,5,5,4,5,2,3,3,2,3,3,2,3,3,8,7
34011,4,4,,,4,,,4,,,,,4,0,,4,0,,4,0,,10,
34012,5,5,,,5,,,5,,,,,5,5,5,5,5,5,5,5,5,3,5
34013,2,2,,,2,,,2,,,,,2,,,2,,,2,,,,
34014,1,1,4,4,1,4,4,1,4,4,5,4,0,,,0,,,0,,,,
34015,0,0,4,,0,4,,0,4,,13,,1,,,1,,,1,,,,
34016,2,2,,,2,,,2,,,,,2,0,0,2,0,0,2,0,0,5,0
34017,1,1,4,4,1,4,4,1,4,4,5,4,0,3,3,0,3,3,0,3,3,2,4
34018,1,1,3,3,1,3,3,1,3,3,2,2,0,0,0,0,0,0,0,0,0,5,0
34019,2,2,0,,2,0,,2,0,,0,,2,1,1,2,1,1,2,1,1,0,1
34020,1,1,3,,1,3,,1,3,,2,,0,8,8,0,8,8,0,8,8,13,11
34021,3,3,8,8,3,8,8,3,8,8,11,10,3,0,,3,0,,3,0,,6,
34022,4,4,,,4,,,4,,,,,4,3,3,4,3,3,4,3,3,2,4
34023,1,1,7,7,1,7,7,1,7,7,9,7,0,,,0,,,0,,,,
34024,5,5,3,3,5,3,3,5,3,3,2,2,5,3,3,5,3,3,5,3,3,8,7
34025,1,1,,,1,,,1,,,,,0,8,,0,8,,0,8,,13,
34026,1,1,3,3,1,3,3,1,3,3,2,2,0,5,5,0,5,5,0,5,5,3,5
34027,2,2,7,,2,7,,2,7,,9,,2,3,3,2,3,3,2,3,3,2,4
34028,8,8,,,8,,,8,,,,,8,3,3,8,3,3,8,3,3,8,4
34029,4,4,,,4,,,4,,,,,4,9,9,4,9,9,4,9,9,14,12
34030,1,1,8,8,1,8,8,1,8,8,11,10,0,0,0,0,0,0,0,0,0,5,0
